_geo,business_name,job_roles,title,salary_from,salary_to,postal_code
"[33.6189101, -117.9289469]",Children's Health Defense,[],Social Media Clip Editor/Writer,52000.0,72800.0,
"[38.8890009, -77.0002537]",Children's Health Defense,['Accounting'],Staff Accountant,62400.0,83200.0,
"[38.8951118, -77.0363658]",Children's Health Defense,[],Chapter Coordinator,41600.0,62400.0,
"[29.7857853, -95.8243956]",Children's Health Defense,['Information Technology'],Lead Technology Manager,125000.0,175000.0,
"[45.5863499, -92.9746598]",Children's Health Defense,"['Admin-Clerical', 'Legal', 'Media-Journalism', 'Nonprofit-Social Services', 'Professional Services', 'Research', 'Science']",Copy Editor/Investigative Fact-Checker,58240.0,79040.0,
"[46.9215603, -116.8982195]",Christensen Orthodontics,"['Customer Service', 'Health Care']",Scheduling Coordinator,31200.0,31200.0,83501
,Christensen Orthodontics,['Health Care'],Orthodontic Assistant,,,83501
"[47.1412122, -122.2701183]",Christian Care Ministry (Medi-Share),"['Admin-Clerical', 'Executive']",Special Assistant to CEO,62000.0,85000.0,32934
,Christian Care Ministry (Medi-Share),"['Admin-Clerical', 'Customer Service', 'Telecommunications']",Customer Service Advocate,39000.0,40560.0,
"[32.7830556, -96.8066667]",Christian Care Ministry (Medi-Share),"['Finance', 'General Business', 'Information Technology']",Project Coordinator,39998.4,51001.6,
"[35.4675602, -97.5164276]",Christian Care Ministry (Medi-Share),['Marketing'],Senior Digital Marketing Specialist,50000.0,67000.0,32934
"[39.977763, -105.1319296]",Christian Care Ministry (Medi-Share),['Information Technology'],Senior Network Engineer,97000.0,139000.0,
,Christian Care Ministry (Medi-Share),['Information Technology'],Systems Administrator,65000.0,65000.0,
"[40.0378755, -76.3055144]",CHT Apartments,"['Construction', 'Facilities', 'General Labor', 'Management']",Maintenance,39520.0,39520.0,53703
"[46.7323875, -117.0001651]","Classical Conversations, Inc.","['Accounting', 'Admin-Clerical']",Accounting Clerk,35000.0,40000.0,28387
"[34.1705556, -118.8375]","Classical Conversations, Inc.",['Human Resources'],Human Resources Assistant (Temporary),27040.0,27040.0,28387
"[37.5537575, -77.4602617]",ClearShift,"['Admin-Clerical', 'Customer Service', 'Management', 'Professional Services']",Customer Experience Specialist,35360.0,35360.0,80126
"[35.9940329, -78.898619]",Coastal Process LLC,"['Distribution-Shipping', 'General Labor', 'Installation-Maint-Repair', 'Skilled Labor']",Field Service Technician ,,,
"[48.7595529, -122.4882249]","Coblentz-Biehle & Cramer, CPAs",['Accounting'],CPA/TAX PREPARER,,,93446
"[43.661471, -70.2553259]",Codeware Inc.,"['Business Development', 'Customer Service', 'Sales']",Account Manager,,,
"[37.6922361, -97.3375448]",Codeware Inc.,['Information Technology'],Technical Support Analyst,,,
"[30.267153, -97.7430608]",Codeware Inc.,"['Customer Service', 'Engineering']",Mechanical Engineer,,,34238
"[41.6005448, -93.6091064]",Codeware Inc.,['Information Technology'],Mechanical Engineer - Research & Development,,,34238
"[28.0225206, -81.6192432]",Codeware Inc.,"['Engineering', 'QA-Quality Control']",Mechanical Engineer – Quality Assurance,,,78730
"[42.3584308, -71.0597732]",Concordis Education Partners,[],"Firm Foundations Academy - Northwest (Sherwood/Newberg, OR) Full/Part-time Teachers",,,
"[37.3393857, -121.8949555]",Concordis Education Partners,['Education'],"Libertas Academy (Angels Camp, CA) - Full-time or Part-time Teachers",,,
"[36.0726355, -79.7919754]",Convention of States,"['General Business', 'Nonprofit-Social Services']",Operations Project Manager,60000.0,65000.0,
"[33.0145673, -97.0969552]",Convention of States,[],Emerging Leaders Program- Internship,,,
"[39.9606643, -75.6054882]",Convention of States,"['Admin-Clerical', 'Customer Service', 'Entry Level']",Part-Time Appointment Setter,41600.0,45760.0,
"[33.4483771, -112.0740373]",Convention of States,"['Marketing', 'Nonprofit-Social Services', 'Telecommunications']",Communications Director,,,
"[32.7830556, -96.8066667]",Core Catalysts,"['Information Technology', 'Professional Services']",IT Project Manager,,,66212
"[37.775, -122.4194444]",Coughlin Law Office LLC,"['Admin-Clerical', 'Legal']",Legal Assistant,24960.0,24960.0,66534
"[32.8140177, -96.9488945]",Coyote  HVAC,"['Construction', 'Skilled Labor']",Electrician Apprentice,41600.0,62400.0,80112
"[26.7153425, -80.0533746]",Coyote  HVAC,"['Construction', 'Installation-Maint-Repair', 'Skilled Labor']",Electrician,41600.0,93600.0,80112
"[48.421216, -122.3340474]",Coyote  HVAC,"['Construction', 'Customer Service', 'Installation-Maint-Repair', 'Management', 'Other', 'QA-Quality Control', 'Skilled Labor']",HVAC Installation Supervisor,60000.0,80000.0,80112
"[32.7765656, -79.9309216]",Coyote  HVAC,"['Construction', 'Skilled Labor']",HVAC Install Technician,65000.0,150000.0,80112
"[34.0007104, -81.0348144]","Creason, Moore, Dokken & Geidl, PLLC","['Consultant', 'Legal', 'Professional Services']",Associate Attorney,70000.0,125000.0,
"[34.8526176, -82.3940105]",CrossPolitic Studios,['Media-Journalism'],Journalist,,,
"[43.2081366, -71.5375718]",CTS Telecommunications,['Telecommunications'],Installation Technician,37440.0,37440.0,45249
"[42.9956397, -71.4547891]",Curt's Service,[],Advanced Technician,,,
"[30.0971621, -95.6160549]",Curt's Service,"['Automotive', 'Engineering', 'Entry Level', 'General Labor', 'Skilled Labor']",Technician Assistant,,,
"[42.7653662, -71.467566]",Curt's Service,"['Automotive', 'Engineering', 'Entry Level', 'General Labor', 'Skilled Labor']",General Technician,,,48237
"[26.7153425, -80.0533746]",Danzeisen Dairy,[],Merchandiser-Sales representative,,,
"[46.7323875, -117.0001651]","Dara Holsters & Gear, Inc.","['Manufacturing', 'Skilled Labor']",CNC Machinist,37440.0,41600.0,27591
"[30.267153, -97.7430608]",Dave Williams Plumbing & Electrical Inc,"['Installation-Maint-Repair', 'Skilled Labor']",Electrician,52000.0,52000.0,92211
"[40.7989473, -81.378447]",Davis Roofing Solutions,"['Consultant', 'Sales']",Roofing Consultant,,,76111
"[40.7989473, -81.378447]",Decker's Jewelry and Pawn,"['Customer Service', 'Entry Level', 'Finance', 'Other', 'Retail', 'Sales']",Customer Service/Pawnbroker,20800.0,24960.0,29206
"[30.4507462, -91.154551]",Def-Logix,"['Engineering', 'Information Technology', 'Research', 'Security']",Linux/BSD C/C++ Developer,90000.0,135000.0,78229
"[32.7830556, -96.8066667]",Def-Logix,"['Engineering', 'Information Technology', 'Security']",Information System Security Officer & Manager (ISSO & ISSM) ,,,
"[26.7153425, -80.0533746]",Def-Logix,[],Full Stack Developer,,,
"[32.7830556, -96.8066667]",Def-Logix,"['Information Technology', 'Management']",Project Manager ,,,
"[34.9387279, -82.2270569]","Delta Defense, LLC",['Sales'],Inbound Sales Advisor - Remote Optional,37440.0,0.0,
,"Delta Defense, LLC",['Marketing'],Senior Manager Events Marketing,,,
,"Delta Defense, LLC",['Customer Service'],Critical Response Team Specialist,,,
"[26.7153425, -80.0533746]","Delta Defense, LLC",['Sales'],Sales Advisor - Remote Optional,,,
"[32.7153292, -117.1572551]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Allentown, Pennsylvania",,,
"[32.7153292, -117.1572551]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - St. Cloud, Minnesota",,,
"[29.4241219, -98.4936282]","Delta Defense, LLC",['Human Resources'],Manager - Human Resources Business Partners - Hybrid,,,
"[29.4241219, -98.4936282]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Tucson, Arizona",,,
"[29.4241219, -98.4936282]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Portland, Maine",,,
"[48.421216, -122.3340474]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Wichita, Kansas",,,
"[43.7232522, -111.1113326]","Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Memphis, Tennessee",,,
"[32.7153292, -117.1572551]","Delta Defense, LLC",[],Human Resources Business Partner - Hybrid,,,53095
"[42.2528649, -73.790959]","Delta Defense, LLC","['Distribution-Shipping', 'Warehouse']",Warehouse Associate - First Shift $19.00/hour,39520.0,0.0,53095
"[46.7323875, -117.0001651]","Delta Defense, LLC","['Customer Service', 'Sales', 'Training']",Corporate Trainer - Hybrid,,,53095
,"Delta Defense, LLC",['Sales'],"Outside Sales - Firearms Industry - Orlando, Florida",,,
,DeWayne Norton Agency LLC,['Insurance'],Insurance CSR/Producer,,,73080
"[28.0836269, -80.6081089]",Dimeler & Associates PLLC,"['Accounting', 'Finance', 'Professional Services']",Tax Manager,85000.0,85000.0,99212
,Dollar a Day Websites & Marketing,"['Business Development', 'Consultant', 'General Business', 'Information Technology', 'Marketing', 'Pharmaceutical', 'Professional Services', 'Sales']",Independent Territory Sales Representative,,,39042
,Double Dutch Meat Processing (Ulrich Meat Market),"['Other', 'Restaurant-Food Service', 'Retail', 'Sales']",Seasonal Help,,,50219
,Dr. Hess Dentistry,['Health Care'],Dental Hygienist,72800.0,93600.0,46184
,Dr's Joseph and Nina Zeigler DMD's PC,['Health Care'],Chairside Dental Assistant,31200.0,52000.0,63131
,Dream AcadeME,['Education'],PreK-Grade 2 STEAM Teacher & Tutor,52000.0,52000.0,90808
"[33.4483771, -112.0740373]",Dreamclinic,['Health Care'],Licensed Massage Therapist,104000.0,104000.0,98115
"[46.7323875, -117.0001651]",Duck Donuts AZ,"['Business Development', 'Customer Service', 'Franchise', 'General Business', 'Inventory', 'Management', 'Marketing', 'Other', 'Restaurant-Food Service', 'Retail', 'Sales', 'Supply Chain', 'Training']",Shop Manager: Hiring Now,,,85248
"[38.5815719, -121.4943996]","Eagle Heating & Cooling, Inc.","['Installation-Maint-Repair', 'Skilled Labor']",HVAC Technician,62400.0,93600.0,43062
,"Eagle Mortgage,LLC","['Banking', 'Business Development', 'Executive', 'Finance', 'General Business', 'Management', 'Real Estate', 'Sales']",Gig Worker - B2B Sales Representative (No License Needed),45000.0,180000.0,
"[43.6135002, -116.2034505]","Eagle Mortgage,LLC","['Banking', 'Business Development', 'Finance', 'General Business', 'Management', 'Real Estate', 'Sales']","Join Our Sales Team at Eagle Mortgage, LLC: Work from Home and Earn High Commission Payouts! ",55000.0,180000.0,
"[46.4165506, -117.0176569]","Eagle Mortgage,LLC","['Banking', 'Construction', 'Finance', 'General Business', 'Management', 'Real Estate', 'Sales']","Join Our Sales Team at Eagle Mortgage, LLC: Work from Home and Earn High Commission Payouts! ",55000.0,180000.0,
"[33.6694649, -117.8231107]","Eagle Mortgage,LLC","['Banking', 'Business Development', 'Construction', 'Finance', 'General Business', 'Real Estate', 'Sales']","Join Our Sales Team at Eagle Mortgage, LLC: Work from Home and Earn High Commission Payouts! ",60000.0,250000.0,
"[44.8877401, -94.3697057]","Early's Carpet, Inc.","['Construction', 'Entry Level', 'General Labor', 'Installation-Maint-Repair', 'Skilled Labor']",Assistant Flooring Helper,29120.0,29120.0,20106
"[41.9270367, -73.9973608]",EARN Cares,['Nurse'],"Psychiatric Registered Nurse - $10k Sign on Bonus [Peoria, Mesa or Glendale]",70720.0,70720.0,85018
"[39.9611755, -82.9987942]",EARN Cares,['Nurse'],Registered Nurse - $10k+ Signing Bonus W/Multiple Opportunities In a Hospital Setting,72800.0,72800.0,85018
"[29.4241219, -98.4936282]","East Coast Speed Service, Inc.","['General Labor', 'Skilled Labor']",In-Field Technician ,0.0,0.0,18301
"[46.7323875, -117.0001651]",EBizCharge ,[],Product Owner ,75000.0,90000.0,92618
"[40.0378755, -76.3055144]",EBizCharge ,[],Talent Sourcer ,41600.0,72800.0,92618
"[46.7323875, -117.0001651]",EBizCharge ,[],Director of Strategic Partnerships ,80000.0,120000.0,
"[40.0378755, -76.3055144]",EBizCharge ,"['Business Development', 'Sales']",Business Development Representative  ,37440.0,45760.0,
"[32.6209775, -83.5999048]",EBizCharge ,"['Admin-Clerical', 'Banking', 'Customer Service']",Service Administrator ,37440.0,62400.0,92618
,EBM GREENS INC.,"['Marketing', 'Other', 'Sales']",Inside Sales Representative,,,
"[37.247206, -112.664377]",eFriendly,['Information Technology'],Operations as a Service IT Technician - Tier 1,,,27409
"[37.247206, -112.664377]",Electric Mirror,['Human Resources'],Human Resources Manager,95000.0,110000.0,98203
"[37.247206, -112.664377]",Electric Mirror,"['Accounting', 'Manufacturing']",Senior Cost Accountant,90000.0,105000.0,98203
"[38.5815719, -121.4943996]",Electric Mirror,"['Customer Service', 'Executive', 'Management', 'Marketing', 'Sales']","Director, Inside Sales Operations",130000.0,155000.0,98203
"[38.8951118, -77.0363658]",Electric Mirror,['Sales'],Residential Account Manager,65500.0,65500.0,
"[38.8951118, -77.0363658]",Electric Mirror,['Accounting'],Staff Accountant,54080.0,54080.0,
"[38.8951118, -77.0363658]",Electric Mirror,['Accounting'],Accounting and Finance Manager,110000.0,110000.0,
"[33.0203211, -117.202813]","ELEMET, Inc.","['Distribution-Shipping', 'Entry Level', 'Manufacturing', 'Supply Chain', 'Warehouse']",Tear-Down Technician (Dismantler),35360.0,0.0,12534
"[40.0378755, -76.3055144]",Elijah's Specialty Coffee & Tea,['Restaurant-Food Service'],Full or Part-time Barista,,,60126
,Ellipse Diagnostics,['Health Care'],Laboratory Supervisor,70000.0,70000.0,34997
"[39.7083789, -91.3584816]","Ellis Crow Solutions, LLC","['Admin-Clerical', 'Entry Level']",Team Member,45000.0,45000.0,3054
"[33.4483771, -112.0740373]",ELM Structural Engineers,[],Structural Engineer,,,
"[30.3321838, -81.655651]",Erber Auto,['Automotive'],Auto Technician,80000.0,100000.0,83843
"[28.0836269, -80.6081089]",Erickson Construction,['Construction'],Carpenter,72800.0,72800.0,98329
"[27.8005828, -97.396381]",Excalibur Auto Body Repair,['Automotive'],Auto Body Estimator,60000.0,90000.0,83501
"[40.0455918, -86.0085955]",Exodus East,['Automotive'],Mobile Automotive Technician/ Roadside Assistance Provider,25000.0,50000.0,
"[46.7323875, -117.0001651]",EyeMD EMR Healthcare Systems Inc,"['Customer Service', 'Entry Level', 'General Business']",Customer Service Representative,35000.0,35000.0,34134
"[46.7323875, -117.0001651]",Family Stations,"['Admin-Clerical', 'Executive', 'Human Resources', 'Management', 'Media-Journalism', 'Nonprofit-Social Services']",Senior Director of Operations,150000.0,170000.0,
"[34.9387279, -82.2270569]",FARM BUREAU INSURANCE,"['Admin-Clerical', 'Customer Service', 'Entry Level', 'Insurance']",CUSTOMER SERVICE REPRESENTATIVE,,,49106
"[40.7325997, -73.4454009]","Fertility Bridge, LLC",['Media-Journalism'],Investigative Journalist,,,
,Firetrucks Unlimited,['Manufacturing'],Diesel Mechanic,52000.0,72800.0,89074
"[41.8889194, -87.9033956]",Flex Tech,"['Construction', 'General Labor', 'Skilled Labor']",Voice & Data Technician,41600.0,56160.0,
,Flex Tech,"['Construction', 'Skilled Labor']",Conduit Installer/Bender,,,
"[46.2112458, -119.1372338]",Flex Tech,"['Construction', 'General Labor', 'Installation-Maint-Repair', 'Security']",Access Control Technician ,41600.0,56160.0,
"[44.7930232, -89.7031784]",Flex Tech,"['Construction', 'General Labor', 'Installation-Maint-Repair', 'Manufacturing', 'Security', 'Skilled Labor', 'Telecommunications', 'Warehouse']",L1 Technician - Project Manager Available,41600.0,150000.0,
"[44.7930232, -89.7031784]",FoodEmployment.com Inc.,"['Human Resources', 'Management', 'Professional Services', 'Restaurant-Food Service']",Human Resource Manager – Bilingual,,,
"[44.7930232, -89.7031784]",ForAmerica,"['Customer Service', 'Design', 'Marketing', 'Media-Journalism', 'Nonprofit-Social Services', 'Strategy-Planning']",Social Media Specialist/Marketer,40000.0,40000.0,20191
"[38.7509488, -77.4752667]",Forged Construction,"['Construction', 'Skilled Labor']",Journeyman Framer,,,83843
"[38.7509488, -77.4752667]",Forrest Johnson Recruiting ,"['Accounting', 'Finance']",Staff Accountant,,,30318
"[40.75839, -82.5154471]",Fox Hardwood Lumber,"['Accounting', 'General Business', 'Inventory', 'Management', 'Purchasing-Procurement', 'Sales', 'Skilled Labor', 'Supply Chain', 'Training', 'Transportation']",Log Yard Manager,,,38341
"[36.0726355, -79.7919754]",Fox Hardwood Lumber,"['Design', 'Engineering', 'Management', 'Manufacturing', 'QA-Quality Control', 'Training']",Production Engineer,,,37064
"[32.2217429, -110.926479]","Freedom Fries, LLC",[],Search Engineer,,,
"[40.0378755, -76.3055144]",Freedom Ring Venture Studio,"['Accounting', 'Admin-Clerical', 'Business Development', 'Consultant', 'Customer Service', 'Design', 'Engineering', 'Entry Level', 'Executive', 'Finance', 'General Business', 'Human Resources', 'Information Technology', 'Legal', 'Management', 'Marketing', 'Other', 'Professional Services', 'QA-Quality Control']",Conservative Technology Innovators Wanted,40000.0,40000.0,20191
"[26.7153425, -80.0533746]",Friendly Plumbing Inc.,['Skilled Labor'],Plumber,,,89431
"[39.0916586, -104.872758]",FTS Excavation LLC,"['Construction', 'Management', 'Skilled Labor']",Heavy Equipment Operator and Superintendent ,83200.0,93600.0,98374
"[39.0916586, -104.872758]",Future Generations Clinic of Chiropractic,"['Admin-Clerical', 'Customer Service']",Chiropractic Assistant,33280.0,39520.0,92025
"[39.0916586, -104.872758]",G1 Staffing,"['Construction', 'Skilled Labor']",Skilled Carpenter,35360.0,35360.0,72114
,GA Fleet Force,"['Automotive', 'Skilled Labor']",Lead Diesel Technician,62400.0,93600.0,30340
"[42.4594803, -83.1827051]",Garland Activewear,['Design'],Part Time Graphic Design,41600.0,41600.0,32258
"[42.4594803, -83.1827051]",GFA World,"['Entry Level', 'General Labor', 'Nonprofit-Social Services', 'Training']",Ministry Apprenticeship,,,
"[42.4594803, -83.1827051]",Gideon 300,"['Admin-Clerical', 'Executive']",Senior Executive Assistant,75000.0,75000.0,
"[36.5297706, -87.3594529]",Gideon 300,"['Marketing', 'Media-Journalism']",Director of Media Relations ,,,
"[32.7153292, -117.1572551]","Golden Construction, Inc.",['Construction'],Construction Project Estimator,70000.0,120000.0,92647
"[32.7153292, -117.1572551]",Grace Christian Academy of Merrick,['Education'],Grammar School Teacher,30000.0,60000.0,11566
"[47.6587803, -117.4260466]",Grace Christian Academy of Merrick,['Education'],Math/Science Teacher,30000.0,60000.0,11566
"[34.9387279, -82.2270569]",Grace Christian Academy of Merrick,['Education'],Music Teacher,15000.0,60000.0,11566
"[45.7809491, -122.5334307]",Green Acres,"['Automotive', 'Engineering', 'Facilities', 'Skilled Labor', 'Transportation']",Diesel Mechanic,,,19526
,Gregory Pacific Corp.,"['Construction', 'General Labor', 'Skilled Labor']",EXCAVATION and UTILITY FOREMAN,,,97218
"[28.7588833, -81.3178446]",Guardian Pet Sitters,"['Customer Service', 'Entry Level', 'General Labor', 'Hospitality-Hotel', 'Professional Services']",Part Time Professional Pet Sitter,20800.0,31200.0,75056
"[39.0997266, -94.5785667]","H.A. Dorsten, Inc. General Contractors","['Construction', 'General Labor', 'Other', 'Skilled Labor', 'Warehouse']",Carpenters -Commercial Construction,,,45865
"[38.8951118, -77.0363658]",Hardwood Artisan LLC,"['General Labor', 'Installation-Maint-Repair', 'Skilled Labor']",Shop Cabinet Maker,39520.0,39520.0,
,Hecto Group,['Engineering'],Electrical Engineer,,,63026
"[38.8951118, -77.0363658]",Hecto Group,['Engineering'],Director of Electrical Engineering,,,63026
"[35.1495343, -90.0489801]",Heirloom Market Co and Bakeshop,"['General Business', 'Other']",Front of House /Barista Team Member- ! TIPS !,18720.0,18720.0,30277
"[39.9611755, -82.9987942]",Henderson Pool Service,"['Installation-Maint-Repair', 'Other', 'Professional Services', 'Skilled Labor']",Swimming Pool Service Technician,39000.0,39000.0,32233
"[33.4483771, -112.0740373]",Hendrickson Tree Car Company,"['General Labor', 'Professional Services', 'Skilled Labor']",Arborist  or Arborist Assistant,31200.0,31200.0,64111
"[44.9799654, -93.2638361]",Hill Country Health PLLC,['Health Care'],Medical Assistant/Technologist,37440.0,37440.0,78734
"[40.7142691, -74.0059729]",Hillsdale College,"['Education', 'Other', 'Telecommunications']",Manager of Live Video & Post-Production,,,49271
"[33.6378183, -112.020704]",Hillsdale College Business Development,"['Education', 'Professional Services']",Production Mail Manager for Print and Mail,,,49242
,"Hire Endeavors, LLC","['Health Care', 'Nurse']",Nurse Practitioner,106000.0,142000.0,10451
,"Hire Endeavors, LLC","['Health Care', 'Nurse']",Registered Nurse - Home Care ,97000.0,122000.0,10701
,"Hire Endeavors, LLC","['Health Care', 'Nurse']",Registered Nurse - Home Care,97000.0,122000.0,10001
,"Hire Endeavors, LLC","['Health Care', 'Nurse']",Registered Nurse - Home Care,97000.0,122000.0,11201
,"Hire Endeavors, LLC","['Health Care', 'Nurse']",Registered Nurse - Home Care,97000.0,122000.0,10451
,Holistic Nutrition Center,"['Admin-Clerical', 'Banking', 'Business Development', 'Consultant', 'Customer Service', 'Distribution-Shipping', 'Education', 'Entry Level', 'General Business', 'General Labor', 'Grocery', 'Health Care', 'Inventory', 'Management', 'Marketing', 'Other', 'Professional Services', 'Retail', 'Sales', 'Skilled Labor', 'Training']",Receptionist,37440.0,37440.0,92660
"[33.1192068, -117.086421]",Home Instead Woodland Hills,['Health Care'],Caregiver,35360.0,43680.0,91367
"[32.7092955, -96.0083018]",Honest 1 Auto Care,"['Automotive', 'Engineering', 'General Labor', 'Skilled Labor']",Automotive Technician,41600.0,62400.0,
"[34.0007104, -81.0348144]",Hotze Health & Wellness Center,"['Admin-Clerical', 'Business Development', 'Design', 'Marketing']",Marketing Generalist,58000.0,60000.0,
"[44.1635775, -93.9993996]",HSP Direct,"['Admin-Clerical', 'Customer Service', 'Entry Level', 'Marketing', 'Professional Services', 'Purchasing-Procurement']",Political Production Coordinator ,,,20147
,Huff Technologies Inc,"['Engineering', 'General Business', 'Installation-Maint-Repair', 'Manufacturing', 'Skilled Labor', 'Warehouse']",Automated  Equipment Assembly Technician,31200.0,31200.0,42437
"[41.9200472, -84.6305101]",I Need the Plumber & Air Conditioning,"['Construction', 'General Labor', 'Installation-Maint-Repair', 'Other', 'Skilled Labor']",Service Technicians (Plumbing/HVAC),31200.0,31200.0,34952
"[30.1579935, -95.4893845]",I.T. Audit Search,"['Accounting', 'Finance', 'Information Technology', 'Professional Services']","Sr. Auditor, Integrated Audit",90000.0,90000.0,
"[47.5403732, -122.6362492]","Ichthys IT Services, Inc.",['Information Technology'],Senior IT Engineer,62400.0,62400.0,01069-0222
"[47.6732281, -117.2393748]",IMCO Trailers,['Engineering'],Auto cad / designer,64000.0,64000.0,80022
,Indy Pavement Services,['Admin-Clerical'],Scheduling Assistant,29120.0,37440.0,
"[35.870619, -88.1458719]",Informed Consent Action Network,[],Personal Assistant,,,
"[35.9250637, -86.86889]",Informed Consent Action Network,['Admin-Clerical'],Executive Assistant,48000.0,48000.0,78737
"[37.9886892, -84.4777153]",Informed Consent Action Network,"['Business Development', 'General Business', 'Marketing', 'Media-Journalism', 'Other', 'Professional Services']",Social Media Manager,,,78737
,Informed Consent Action Network,['Media-Journalism'],Tricaster Operator,,,78737
"[41.850033, -87.6500523]",Inheritance Academy,['Education'],Head of School,65000.0,65000.0,60048
"[33.1567863, -94.968269]","Innovative Comfort Systems, Inc",['Construction'],Journeyman Service Technician,,,98037
"[38.8951118, -77.0363658]",Inspire Investing,['Finance'],Director of Compliance,98000.0,117000.0,83646
"[38.8951118, -77.0363658]",Inspire Investing,"['Customer Service', 'Finance']",Client Service Specialist,45760.0,49920.0,83646
"[38.8951118, -77.0363658]",Invita Café,"['Entry Level', 'Hospitality-Hotel', 'Other', 'Restaurant-Food Service', 'Retail']",Lead Barista - *immediate hire*,31200.0,31200.0,92067
"[44.1635775, -93.9993996]",Iron Goat Defense ,['Security'],Armed & Unarmed Security Guards,39520.0,52000.0,
,It Needs to be Perfect,"['Hospitality-Hotel', 'Other', 'Professional Services']",House Cleaner,35360.0,35360.0,85271
"[38.2542376, -85.759407]","J & R Roofing Co., Inc","['Construction', 'Management', 'Sales']",Commercial Roofing Service Department Manager,90000.0,120000.0,20794
"[41.673642, -88.0017261]",J t kruer & company,['Skilled Labor'],Grading Foreman,,,
"[33.4483771, -112.0740373]",J t kruer & company,['Skilled Labor'],Heavy Equipment Operator,,,
"[33.4483771, -112.0740373]",J. Galt Finance Suite,"['Business Development', 'Consultant', 'Executive', 'Finance', 'Professional Services', 'Sales']",Sales Executive,125000.0,125000.0,
"[33.4483771, -112.0740373]",Jerico Mechanical,"['Installation-Maint-Repair', 'Other', 'Skilled Labor']",HVAC/REFRIGERATION SERVICE & REPAIR TECHNICIAN,41600.0,83200.0,95838
"[33.4483771, -112.0740373]",Jess Lewis Transmission,"['Automotive', 'Skilled Labor', 'Transportation']",Automotive Technician,31200.0,31200.0,46802
"[33.4483771, -112.0740373]",Jesse Waldman CPA,"['Accounting', 'Professional Services']",Tax Accountant,,,37074
"[33.4483771, -112.0740373]",JM AUTOMATION SERVICES LLC,"['Design', 'Engineering', 'General Labor', 'Manufacturing', 'Skilled Labor']",MECHANICAL DESIGN ENGINEER,60000.0,100000.0,19438
"[33.4483771, -112.0740373]",JOHNNY SLICKS,[],Laboratory Assistant ,,,28445
"[33.4483771, -112.0740373]",JPW Design Studio,"['Customer Service', 'Design']",Website Design & Customer Service - Remote,31200.0,31200.0,75455
"[33.4483771, -112.0740373]",Julian Center for Comprehensive Dentistry,['Health Care'],Dental assistant,41600.0,41600.0,21042
"[38.8951118, -77.0363658]",Justin Seed Company,['Transportation'],CDL Driver,,,76247
"[33.4483771, -112.0740373]",Keller Williams Realty,"['Real Estate', 'Sales']",Real Estate Agent,46300.0,46300.0,45342
"[33.4483771, -112.0740373]","Kevin E. Fordyce, CPA",['Accounting'],Experienced or Senior Auditor,72800.0,166400.0,91101
"[42.331427, -83.0457538]",Kitchen & Bath Solutions,"['Construction', 'Customer Service', 'General Labor', 'Other', 'Professional Services', 'Sales', 'Skilled Labor']",Tub/Tile/Countertop/Cabinet Refinisher & Repairman,41600.0,93600.0,27606
"[41.6005448, -93.6091064]",Koble Systems,"['Consultant', 'Engineering']",Implementation Scripting Consultant,,,17602
"[37.5537575, -77.4602617]",Koble Systems,"['Consultant', 'Engineering']",Implementation Scripting Consultant,,,
"[37.5537575, -77.4602617]",Koble Systems,"['Consultant', 'Customer Service']",Technical Support Specialist,,,
"[33.5206608, -86.80249]",Koble Systems,"['Admin-Clerical', 'Customer Service']",Operations Assistant,,,
"[30.267153, -97.7430608]",Koble Systems,"['Admin-Clerical', 'Customer Service']",Operations Assistant,,,
"[33.4483771, -112.0740373]",Koble Systems,"['Consultant', 'Customer Service']",Solutions Consultant,,,
"[40.5852602, -105.084423]",Koble Systems,"['Consultant', 'Customer Service']",Solutions Consultant,,,17602
"[35.4675602, -97.5164276]",Koble Systems,"['Customer Service', 'Telecommunications']",Client Support Specialist,,,17602
"[30.4507462, -91.154551]",Koble Systems,['Customer Service'],Account Manager,,,
,Koble Systems,['Customer Service'],Client Relationship Manager,,,
,Landis Cabinetry LLC,"['Construction', 'Entry Level', 'General Labor', 'Installation-Maint-Repair', 'Manufacturing', 'Skilled Labor']",Cabinet Builder,49920.0,66560.0,
"[35.4675602, -97.5164276]",Lash-Idaho (Deka Lash),"['Customer Service', 'Other']",Lash Artist,30000.0,65000.0,83642
,Latitude Clinic LLC,['Health Care'],Experienced Family Nurse Practitioner (With Peds Experience),106000.0,106000.0,34237
"[36.0998596, -80.244216]",Launch Cart,"['Business Development', 'Design', 'Marketing', 'Other', 'Retail']",eCommerce Store Creator,,,92025
"[32.7830556, -96.8066667]",LEADERSHIP INSTITUTE,"['Education', 'Other']",Field Representative ,28000.0,54000.0,
,LearningCart,"['Engineering', 'Professional Services']",Remote ASP.net Developer,70000.0,70000.0,75077
"[37.2707012, -76.634677]","LeCrone Law Firm, PC","['Admin-Clerical', 'Legal']",Litigation Associate,,,75092
